,EQ,GOV,IG,HY,COMMO,CASH
31/07/2012,1379.32,547.246,2392.885,898.794,480.83,140.8595
31/08/2012,1406.58,546.669,2402.451,909.632,490.7,140.8729
30/09/2012,1440.67,544.703,2420.196,922.588,497.31,140.8838
31/10/2012,1412.16,543.695,2452.053,930.197,476.16,140.8958
30/11/2012,1416.18,547.002,2450.039,937.102,483.47,140.905
31/12/2012,1426.19,544.197,2449.563,951.963,484.07,140.9136
31/01/2013,1498.11,538.952,2431.985,965.06,491.52,140.9224
28/02/2013,1514.68,542.296,2449.183,969.526,477.73,140.9299
31/03/2013,1569.19,542.9,2450.802,979.518,479.78,140.9374
30/04/2013,1597.57,548.594,2492.463,997.708,478.34,140.9479
31/05/2013,1630.74,537.424,2435.607,992.411,472.94,140.9574
30/06/2013,1606.28,530.505,2368.391,966.251,468.12,140.9665
31/07/2013,1685.73,529.381,2385.886,984.422,467.95,140.9797
31/08/2013,1632.97,526.666,2369.936,978.318,472.96,140.9894
30/09/2013,1681.55,530.685,2389.456,988.017,467.57,140.999
31/10/2013,1756.54,533.686,2425.222,1012.305,457.26,141.01
30/11/2013,1805.81,531.425,2418.243,1017.013,463.15,141.0211
31/12/2013,1848.36,525.816,2413.9,1022.586,456.36,141.0421
31/01/2014,1782.59,534.356,2456.967,1030.151,457.98,141.0679
28/02/2014,1859.45,536.036,2483.928,1050.797,478.54,141.0853
31/03/2014,1872.34,534.395,2485.695,1053.229,493.68,141.1068
30/04/2014,1883.95,537.823,2514.677,1060.525,501.35,141.1372
31/05/2014,1923.57,543.806,2553.134,1071.203,497.99,141.1664
30/06/2014,1960.23,542.917,2557.408,1080.256,496.4,141.1778
31/07/2014,1930.67,542.102,2554.401,1065.971,488.47,141.1836
31/08/2014,2003.37,548.812,2590.849,1082.174,483.83,141.1857
30/09/2014,1972.29,545.249,2558.64,1059.467,473.42,141.1865
31/10/2014,2018.05,551.318,2582.518,1071.528,458.92,141.1862
30/11/2014,2067.56,556.362,2598.92,1063.869,454.64,141.1851
31/12/2014,2058.9,557.798,2595.279,1048.184,437.75,141.1814
31/01/2015,1994.99,574.006,2666.399,1055.413,422.45,141.1762
28/02/2015,2104.5,563.915,2644.106,1080.593,420.92,141.1732
31/03/2015,2067.89,567.674,2653.933,1074.853,414.98,141.1677
30/04/2015,2085.51,564.1,2639.756,1087.74,421.15,141.1592
31/05/2015,2107.39,562.84,2626.418,1090.962,424.74,141.1484
30/06/2015,2063.11,557.106,2583.362,1074.321,426.29,141.1336
31/07/2015,2103.84,562.536,2597.284,1067.707,410.37,141.1195
31/08/2015,1972.18,562.807,2579.858,1048.903,406.3,141.1049
30/09/2015,1920.03,567.969,2593.379,1021.693,403.13,141.0889
31/10/2015,2079.36,565.854,2607.28,1049.544,395.15,141.0726
30/11/2015,2080.41,563.462,2601.444,1025.982,384.22,141.0562
31/12/2015,2043.94,562.657,2578.886,999.517,374.7,141.0314
31/01/2016,1940.24,575.169,2590.2,983.708,383.26,141.006
29/02/2016,1932.23,580.895,2609.23,988.283,383.63,140.9769
31/03/2016,2059.74,581.699,2680.049,1031.969,401.27,140.9417
30/04/2016,2065.3,581.038,2716.505,1073.204,417.65,140.9034
31/05/2016,2096.96,581.195,2714.741,1080.948,412.3,140.8611
30/06/2016,2098.86,594.925,2773.909,1092.664,412.72,140.822
31/07/2016,2173.6,597.503,2814.136,1120.262,408.07,140.7848
31/08/2016,2170.95,593.993,2821.851,1145.215,402.81,140.7412
30/09/2016,2168.27,593.269,2813.724,1152.624,402.44,140.701
31/10/2016,2126.15,585.903,2790.434,1156.226,403.58,140.659
30/11/2016,2198.81,569.514,2715.674,1151.666,420.96,140.6182
31/12/2016,2238.83,568.904,2732.664,1174.319,423.08,140.5771
31/01/2017,2278.87,570.172,2743.871,1190.088,432.47,140.5334
28/02/2017,2363.64,573.181,2774.906,1208.659,432.61,140.4949
31/03/2017,2362.72,572.926,2771.491,1206.123,430.99,140.4522
30/04/2017,2384.2,576.955,2799.14,1219.789,424.54,140.4132
31/05/2017,2411.8,580.936,2831.677,1230.684,434.2,140.3671
30/06/2017,2423.41,580.123,2838.626,1231.983,446.63,140.3254
31/07/2017,2470.3,580.928,2859.839,1246.193,441.74,140.282
31/08/2017,2471.65,587.626,2884.06,1245.87,435.64,140.239
30/09/2017,2519.36,582.412,2877.478,1257.063,427.32,140.1986
31/10/2017,2575.26,581.702,2889.091,1261.914,427.62,140.1539
30/11/2017,2647.58,581.034,2885.035,1258.528,429.43,140.1125
31/12/2017,2673.61,583.095,2909.637,1262.196,432.34,140.0744
31/01/2018,2823.81,574.819,2882.748,1270.289,443.44,140.0282
28/02/2018,2713.83,570.121,2839.609,1258.446,443.89,139.9884
31/03/2018,2640.87,575.874,2845.715,1250.677,436.88,139.9461
30/04/2018,2648.05,570.997,2821.48,1258.996,445.1,139.9022
31/05/2018,2705.27,576.316,2834.179,1258.806,446.27,139.8585
30/06/2018,2718.37,576.439,2818.888,1263.153,439.11,139.8178
31/07/2018,2816.29,573.807,2839.771,1277.268,433.13,139.7726
31/08/2018,2901.52,578.502,2855.217,1286.518,411.42,139.7294
30/09/2018,2913.98,572.594,2845.934,1293.994,414.95,139.6901
31/10/2018,2711.74,569.481,2807.476,1272.803,416.13,139.6433
30/11/2018,2760.17,574.842,2802.121,1261.253,416.18,139.6013
31/12/2018,2506.85,587.79,2844.184,1233.608,409.17,139.5579
31/01/2019,2704.1,590.531,2903.719,1290.267,412.83,139.5139
28/02/2019,2784.49,588.757,2914.16,1312.053,412.83,139.4741
31/03/2019,2834.4,600.677,2986.715,1324.909,426.5,139.4327
30/04/2019,2945.83,598.714,3003.346,1343.445,422.09,139.3874
31/05/2019,2752.06,613.785,3046.434,1326.369,415.96,139.3435
30/06/2019,2941.76,619.481,3116.497,1358.893,407.87,139.3051
31/07/2019,2980.38,618.969,3136.922,1365.851,403.16,139.2583
31/08/2019,2926.46,641.453,3232.163,1371.181,387.15,139.2164
30/09/2019,2976.74,635.571,3212.171,1375.528,387.57,139.1686
31/10/2019,3037.56,635.759,3231.817,1378.722,389.5,139.113
30/11/2019,3140.98,633.759,3238.82,1382.487,386.44,139.0622
31/12/2019,3230.78,629.766,3249.023,1411.387,401.58,139.0058
31/01/2020,3225.52,646.19,3326.213,1411.447,404.17,138.9517
29/02/2020,2954.22,664.353,3369.134,1389.571,395.11,138.9027
31/03/2020,2584.59,686.14,3117.324,1226.174,370.2,138.8472
30/04/2020,2912.43,689.146,3281.685,1272.773,353.23,138.795
31/05/2020,3044.31,687.077,3339.055,1330.985,367.12,138.7441
30/06/2020,3100.29,687.76,3406.346,1343.958,360.13,138.6874
31/07/2020,3271.12,696.359,3513.671,1408.173,377.74,138.6319
31/08/2020,3500.31,687.83,3473.12,1422.03,394.76,138.5761
30/09/2020,3363,688.911,3463.945,1407.206,405.96,138.522
31/10/2020,3269.96,681.831,3458.003,1413.786,409.58,138.4678
30/11/2020,3621.63,684.454,3550.186,1470.376,428.41,138.4116
31/12/2020,3756.07,682.658,3567.627,1498.421,443.81,138.3555
31/01/2021,3714.24,674.671,3524.106,1504.156,458.41,138.3019
28/02/2021,3811.15,659.259,3455.192,1509.397,486.54,138.2504
31/03/2021,3972.89,650.944,3407.268,1511.967,506.68,138.1897
30/04/2021,4181.17,656.408,3447.811,1528.552,532.09,138.1343
31/05/2021,4204.11,658.283,3472.017,1532.964,548.54,138.0772
30/06/2021,4297.5,663.612,3529.816,1553.909,556,138.0221
31/07/2021,4395.26,671.989,3572.513,1559.44,562.2,137.9667
31/08/2021,4522.68,671.04,3565.437,1567.945,559.64,137.9075
30/09/2021,4307.54,663.425,3527.753,1568.471,553.74,137.8518
31/10/2021,4605.38,663.74,3536.555,1565.681,571.18,137.7979
30/11/2021,4567,669.124,3539.802,1549.636,564.22,137.7381
31/12/2021,4766.18,664.902,3533.734,1578.79,578.31,137.6798
31/01/2022,4515.55,653.621,3423.313,1535.39,582.94,137.6212
28/02/2022,4373.94,649.256,3348.654,1521.604,609.47,137.5686
31/03/2022,4530.41,630.191,3260.28,1507.525,634.41,137.5102
30/04/2022,4131.93,610.191,3098.191,1452.687,643.29,137.4549
31/05/2022,4132.15,611.643,3114.774,1456.324,629.45,137.3939
30/06/2022,3785.38,605.601,3041.568,1357.197,596.68,137.337
31/07/2022,4130.29,615.905,3131.257,1438.94,582.45,137.2858
31/08/2022,3955,600.383,3047.929,1404.481,585.01,137.2858
30/09/2022,3585.62,580.615,2886.143,1347.995,559.45,137.3314
31/10/2022,3871.98,573.038,2853.965,1386.368,549.59,137.4189
30/11/2022,4080.11,588.213,2994.31,1412.32,564.26,137.5836
31/12/2022,3839.5,585.227,2987.967,1401.683,554.78,137.7714
31/01/2023,4076.6,598.928,3104.173,1456.483,557.02,138.0149
28/02/2023,3970.15,585.628,3013.752,1437.635,548.53,138.2664
31/03/2023,4109.31,602.324,3090.988,1453.818,550.63,138.5798
30/04/2023,4169.48,605.241,3117.196,1467.85,547.45,138.9017
31/05/2023,4179.83,598.373,3075.792,1453.913,541.45,139.3023
30/06/2023,4450.38,594.379,3084.542,1477.579,547.83,139.6867
31/07/2023,4588.96,592.103,3097.912,1498.62,563.85,140.1069
31/08/2023,4507.66,589.338,3076.756,1502.896,552.84,140.5565
30/09/2023,4288.05,576.576,3001.385,1485.417,548.56,140.9891
31/10/2023,4193.8,569.649,2946.764,1467.032,539.51,141.4893
30/11/2023,4567.8,589.195,3112.983,1533.756,529.9,141.9601
31/12/2023,4769.83,608.915,3238.887,1590.318,510.32,142.4167
31/01/2024,4845.65,607.271,3243.691,1590.613,521.47,142.9381
29/02/2024,5096.27,599.59,3198.365,1595.323,524.43,143.3985
31/03/2024,5254.35,603.528,3236.289,1614.327,536.35,143.8443
30/04/2024,5035.69,589.791,3160.946,1598.183,546.17,144.3716
31/05/2024,5277.51,598.383,3219.528,1616.317,546.17,144.8686
30/06/2024,5460.48,604.222,3240.084,1631.92,539.31,145.3032
31/07/2024,5522.3,617.093,3316.658,1663.944,535.21,145.8032
31/08/2024,5648.4,624.964,3367.481,1690.411,536.35,146.2593
30/09/2024,5762.48,632.481,3425.501,1718.035,540.27,146.7198
31/10/2024,5705.45,617.783,3348.437,1708.58,534.44,147.1543
30/11/2024,6032.38,622.708,3388.478,1728.146,535.74,147.54
31/12/2024,5881.63,613.205,3328.299,1720.738,536.5,147.9533
