,Broad business,Recession alerts,Industrial Production,Manufacturing,Services,Small Business sentix,Consumption,Consumers sentiment,Labour HH survey,Labour estabilishment survey,Housing activity,Retail sales,corporate sales & margins,"Income, savings",Interest rates,Rates sentiment,CPI,CPI sentiment,PPI finished goods,BS_housing wealth,BS_housing refinancing,BS_current asset / liabilities,Savings rate ,FED BS / Money supply (billions),FED BS Assets - Reverse Repo,FED Balance Sheet (total factors ABSORBING reserve funds),Currency in circulation (1),Deposits with Federal Reserve Banks excluding Reserve Balances (4),FED BS with Fed Banks
30/06/2003,55.25914634,48.24695122,36.25,57.58807588,66.02787456,44.40625,52.23577236,63.24833703,49.73867596,40.8271474,57.34375,36.11111111,55.09977827,56.75,33.68902439,55.24305556,32.08333333,36.29500581,38.61111111,63.49085366,53.43205575,54.72560976,25.24390244,0.124401749,749327,750412,692710,16637,20506
31/07/2003,64.0625,60.19345238,41.2601626,56.74603175,69.3877551,61.58536585,60.71428571,58.92857143,46.04591837,41.873706,69.32164634,73.03523035,53.06637807,54.87804878,49.7481685,46.20596206,33.36720867,41.09977324,45.39295393,77.73809524,73.0952381,58.08531746,27.5,0.123498484,746860,751695,694586,18561,14482
31/08/2003,65.74612403,64.89825581,51.09126984,69.7997416,66.86046512,63.1547619,75.7751938,59.64587738,50.60215947,43.30131446,73.2328869,77.91005291,61.52219873,46.11111111,60.14087657,37.00396825,36.01190476,54.76190476,47.35449735,66.73126615,81.74418605,52.95542636,38.45930233,0.122652666,748526,752935,697414,17052,14710
30/09/2003,61.57670455,54.90056818,49.56395349,66.76136364,60.51136364,75.87209302,72.34848485,54.41632231,54.26136364,49.19713439,66.49709302,88.75968992,58.84986226,50.7751938,57.29895105,40.92377261,37.84453058,62.44588745,59.10852713,72.10858586,75.34090909,49.47916667,44.43181818,0.123550148,749483,754966,697392,18674,13319
31/10/2003,68.21759259,54.44444444,61.81344697,66.75925926,73.76984127,66.96022727,65.74074074,64.19191919,60.55555556,51.17149758,61.02627841,88.13131313,59.93265993,61.74242424,55.10683761,46.24368687,37.75252525,74.97354497,48.23232323,65.97530864,74.58730159,50.55555556,38.02222222,0.124397189,755817,759826,703460,17470,15277
30/11/2003,65.55183946,58.49184783,60.0462963,61.5942029,51.4363354,71.30555556,60.32608696,70.84980237,62.69409938,51.31143667,63.95833333,80.12345679,67.91831357,61.25925926,52.04849498,52.34567901,38.46707819,64.54451346,65.30864198,51.37077295,74.73602484,56.92934783,41.56521739,0.125261566,766020,769002,713334,17880,14973
31/12/2003,66.26432079,58.97606383,71.15036232,69.06028369,56.23100304,74.23913043,61.17021277,79.2794971,64.68465046,53.2839963,64.67391304,80.9178744,65.95744681,65.72463768,56.04541735,65.51932367,35.38647343,65.60283688,58.33333333,67.1749409,79.16413374,58.5106383,46.85106383,0.126891067,773171,787769,724187,18710,11054
31/01/2004,76.54246795,50.84635417,68.43971631,58.04398148,64.54613095,76.03723404,72.04861111,87.78409091,67.29910714,55.03849638,58.47739362,62.41134752,66.69823232,57.09219858,49.36899038,57.68321513,38.55397951,69.54365079,64.12529551,62.87037037,70.05952381,50.21701389,31.66666667,0.125813053,761299,768087,710647,16752,13906
29/02/2004,65.22762951,46.68367347,65.99392361,51.70068027,59.32944606,72.83854167,59.86394558,62.96382189,64.6319242,55.75643301,51.07421875,76.73611111,62.80148423,61.73611111,46.60518053,46.49884259,42.93981481,66.6180758,65.74074074,61.09410431,68.49854227,48.85204082,32.37609329,0.12349394,759241,769153,714588,16336,8960
31/03/2004,64.07692308,44.4375,70.87585034,54.27777778,58.85714286,54.18367347,72.33333333,66.77272727,70.58928571,62.35869565,55.97895408,67.34693878,68.21212121,59.93197279,47.60576923,53.1462585,44.49347306,75.19047619,54.76190476,59.23888889,66.42857143,33,29.01428571,0.123357193,767730,774813,716136,16611,14617
